DDI	no.	FisherMode	method	isTest	accuracy	precision	recall
Alpha-amylase_int_CBM_48	38	FisherM1	DL	False	0.7606060606	0.6485788114	0.6752265861
Alpha-amylase_int_CBM_48	38	FisherM1	DL	True	0.4603174603	0.5087719298	0.5079365079
Alpha-amylase_int_CBM_48	38	FisherM1	DL_U	False	0.6424242424	0.6838709677	0.6737160121
Alpha-amylase_int_CBM_48	38	FisherM1	DL_U	True	0.2857142857	0.5294117647	0.5158730159
Alpha-amylase_int_CBM_48	39	FisherM1	SVM	True	0.4444444444	0.6	0.5740740741
Alpha-amylase_int_CBM_48	39	FisherM1	SVM	False	0.4691588785	0.5653153153	0.5542056075
Alpha-amylase_int_CBM_48	39	FisherM1	DL	False	0.7645687646	0.898630137	0.8387850467
Alpha-amylase_int_CBM_48	39	FisherM1	DL	True	0.2222222222	0.375	0.4259259259
Alpha-amylase_int_CBM_48	39	FisherM1	DL_U	False	0.8181818182	0.8753117207	0.8504672897
Alpha-amylase_int_CBM_48	39	FisherM1	DL_U	True	0.4074074074	0.44	0.4444444444
Alpha-amylase_int_CBM_48	40	FisherM1	SVM	True	0.5	0.4642857143	0.4615384615
Alpha-amylase_int_CBM_48	40	FisherM1	SVM	False	0.4513715711	0.5782747604	0.5610972569
Alpha-amylase_int_CBM_48	40	FisherM1	DL	False	0.5396341463	0.8009049774	0.6957878315
Alpha-amylase_int_CBM_48	40	FisherM1	DL	True	0.3461538462	0.5625	0.5384615385
Alpha-amylase_int_CBM_48	40	FisherM1	DL_U	False	0.7042682927	0.6676300578	0.6692667707
Alpha-amylase_int_CBM_48	40	FisherM1	DL_U	True	0.4615384615	0.48	0.4807692308
Alpha-amylase_int_CBM_48	41	FisherM1	SVM	True	0.3448275862	0.5	0.5
Alpha-amylase_int_CBM_48	41	FisherM1	SVM	False	0.4507389163	0.5665634675	0.552955665
Alpha-amylase_int_CBM_48	41	FisherM1	DL	False	0.8885448916	0.6882494005	0.7442218798
Alpha-amylase_int_CBM_48	41	FisherM1	DL	True	0.7931034483	0.5	0.5
Alpha-amylase_int_CBM_48	41	FisherM1	DL_U	False	0.9040247678	0.6651480638	0.7257318952
Alpha-amylase_int_CBM_48	41	FisherM1	DL_U	True	0.7931034483	0.4893617021	0.4827586207
Alpha-amylase_int_CBM_48	42	FisherM1	SVM	True	0.4230769231	0.5	0.5
Alpha-amylase_int_CBM_48	42	FisherM1	SVM	False	0.4950884086	0.5502183406	0.5451866405
Alpha-amylase_int_CBM_48	42	FisherM1	DL	False	0.9525	0.7094972067	0.785012285
Alpha-amylase_int_CBM_48	42	FisherM1	DL	True	0.8076923077	0.488372093	0.4807692308
Alpha-amylase_int_CBM_48	42	FisherM1	DL_U	False	0.9525	0.6864864865	0.7628992629
Alpha-amylase_int_CBM_48	42	FisherM1	DL_U	True	0.8846153846	0.5	0.5
Alpha-amylase_int_CBM_48	43	FisherM1	SVM	True	0.25	0.6	0.5416666667
Alpha-amylase_int_CBM_48	43	FisherM1	SVM	False	0.4645833333	0.5575	0.5479166667
Alpha-amylase_int_CBM_48	43	FisherM1	DL	False	0.842377261	0.7325842697	0.765625
Alpha-amylase_int_CBM_48	43	FisherM1	DL	True	0.5833333333	0.4666666667	0.4583333333
Alpha-amylase_int_CBM_48	43	FisherM1	DL_U	False	0.7906976744	0.7409200969	0.7552083333
Alpha-amylase_int_CBM_48	43	FisherM1	DL_U	True	0.5833333333	0.4375	0.4166666667
Alpha-amylase_int_CBM_48	44	FisherM1	SVM	True	0.4528301887	0.5454545455	0.5377358491
Alpha-amylase_int_CBM_48	44	FisherM1	SVM	False	0.6783216783	0.5449438202	0.5559440559
Alpha-amylase_int_CBM_48	44	FisherM1	DL	False	0.3786127168	0.8238993711	0.6457725948
Alpha-amylase_int_CBM_48	44	FisherM1	DL	True	0.4150943396	0.6470588235	0.5943396226
Alpha-amylase_int_CBM_48	44	FisherM1	DL_U	False	0.401734104	0.8081395349	0.6501457726
Alpha-amylase_int_CBM_48	44	FisherM1	DL_U	True	0.4150943396	0.6470588235	0.5943396226
Alpha-amylase_int_CBM_48	45	FisherM1	SVM	True	0.4	0.5714285714	0.55
Alpha-amylase_int_CBM_48	45	FisherM1	SVM	False	0.5221774194	0.5546038544	0.5514112903
Alpha-amylase_int_CBM_48	45	FisherM1	DL	False	0.8823529412	0.7202505219	0.7730138714
Alpha-amylase_int_CBM_48	45	FisherM1	DL	True	0.7666666667	0.6571428571	0.6833333333
